('04/04/2011', ('OFFENSES AGAINST PUBLIC ADMINI', '40.828155367', '-73.926887934', 'Yankees', 'gameday'))
('04/04/2011', ('CRIMINAL MISCHIEF & RELATED OF', '40.832957537', '-73.925202305', 'Yankees', 'gameday'))
('04/04/2011', ('MISCELLANEOUS PENAL LAW', '40.82681201', '-73.920923807', 'Yankees', 'gameday'))
('04/04/2011', ('OFFENSES AGAINST PUBLIC ADMINI', '40.82681201', '-73.920923807', 'Yankees', 'gameday'))
('04/04/2011', ('GRAND LARCENY OF MOTOR VEHICLE', '40.832633767', '-73.925365282', 'Yankees', 'gameday'))
('01/20/2010', ('PETIT LARCENY', '40.833281303', '-73.925032097', 'Yankees', 'not_gameday'))
('01/20/2010', ('DANGEROUS DRUGS', '40.827253266', '-73.924048831', 'Yankees', 'not_gameday'))
('01/20/2010', ('POSSESSION OF STOLEN PROPERTY', '40.825731952', '-73.927154365', 'Yankees', 'not_gameday'))
('01/20/2010', ('ASSAULT 3 & RELATED OFFENSES', '40.82681201', '-73.920923807', 'Yankees', 'not_gameday'))
('01/20/2010', ('DANGEROUS DRUGS', '40.826007669', '-73.924819882', 'Yankees', 'not_gameday'))
('01/20/2010', ('DANGEROUS DRUGS', '40.832723736', '-73.928747556', 'Yankees', 'not_gameday'))
('04/23/2013', ('POSSESSION OF STOLEN PROPERTY', '40.832633767', '-73.925365282', 'Yankees', 'gameday'))
('04/23/2013', ('OFFENSES INVOLVING FRAUD', '40.826620524', '-73.921867109', 'Yankees', 'gameday'))
('04/23/2013', ('DANGEROUS DRUGS', '40.827385306', '-73.924496737', 'Yankees', 'gameday'))
('12/24/2014', ('FELONY ASSAULT', '40.831578538', '-73.927697229', 'Yankees', 'not_gameday'))
('12/24/2014', ('HARRASSMENT 2', '40.831578538', '-73.927697229', 'Yankees', 'not_gameday'))
('12/24/2014', ('BURGLARY', '40.830702032', '-73.922039379', 'Yankees', 'not_gameday'))
('10/06/2014', ('OFFENSES AGAINST PUBLIC ADMINI', '40.83111635', '-73.930411516', 'Yankees', 'not_gameday'))
('10/06/2014', ('DANGEROUS DRUGS', '40.830856275', '-73.9315356', 'Yankees', 'not_gameday'))
('10/06/2014', ('DANGEROUS WEAPONS', '40.825789871', '-73.92335314', 'Yankees', 'not_gameday'))
('10/06/2014', ('HARRASSMENT 2', '40.825734869', '-73.923190605', 'Yankees', 'not_gameday'))
